Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,Cl[H].ON=C,3546406.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3546406&database=RX&origin=ReaxysOutput&ln=,(1044 of 4000),3473-11-8,formaldoxime hydrochloride,H2CNOH*HCl,CH3NO*ClH,81.5019,acyclic,,ZNGCJNWNSDXSQQ-UHFFFAOYSA-N,,,,Identification(5); Physical Data(2); Spectra(1),12.0,9.0,136,,,,,,Article; Dunstan; Bossi; Journal of the Chemical Society; vol. 73; (1898); p. 360;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1124590&database=RX&origin=ReaxysOutput&ln=
,Cl[H].CNC,3589311.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3589311&database=RX&origin=ReaxysOutput&ln=,(1045 of 4000),506-59-2,"N,N-dimethylammonium chloride; dimethylamine hydrochloride; dimethylammonium chloride; N,N-dimethylamine hydrochloride; N-methylmethanamine hydrochloride; dimethylamino hydrochloride; dimethylamine hydrochloride salt; dimethylamine hydrogen chloride; dimethylamine monohydrochloride; dimethylammonium hydrochloride; Me2NH*HCl; methylmethanamine hydrochloride; dimethyl amine hydrochloide; methylamine hydrochloride; dimethylamine",H2N(CH3)2(1+)*Cl(1-)=H2N(CH3)2Cl,C2H8N*Cl,81.5452,acyclic,,IQDGSYLLQPDQDV-UHFFFAOYSA-N,,,,Identification(497); Physical Data(62); Spectra(45); Bioactivity(278),6619.0,5181.0,170 - 171,acetonitrile,,,,,Article; Bodrikov; Nikitina; Subbotin; Doklady Chemistry; vol. 436; 1; (2011); p. 1 - 4;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D20006031&database=RX&origin=ReaxysOutput&ln=
,Cl[H].CCN,3589312.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3589312&database=RX&origin=ReaxysOutput&ln=,(1046 of 4000),557-66-4,ethanamine hydrochloride; ethylamine hydrochloride; ethylammonium chloride; aminoethane hydrochloride; ethyl amine hydrochloride salt; ethylamine HCl salt; monoethylamine hydrochloride,CH3CH2NH2*HCl,C2H8N*Cl,81.5452,acyclic,,XWBDWHCCBGMXKG-UHFFFAOYSA-N,,,,Identification(289); Physical Data(103); Spectra(37); Bioactivity(77),1466.0,1482.0,108 - 109,propan-1-ol,supporting information,,,,"Article; Jackson, Douglas M.; Ashley, Robert L.; Brownfield, Callan B.; Morrison, Daniel R.; Morrison, Richard W.; Synthetic Communications; vol. 45; 23; (2015); p. 2691 - 2700;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D67706612&database=RX&origin=ReaxysOutput&ln=
,[Li+].C[PH-].[H]B([H])[H],6584834.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D6584834&database=RX&origin=ReaxysOutput&ln=,(1047 of 4000),,,CH4P(1-)*2BH3*Li(1+),2BH3*CH4P*Li,81.6272,acyclic,,GMKYJDNMGZZGCC-UHFFFAOYSA-N,,,,Identification(6); Physical Data(1),3.0,1.0,150 - 152,,,,,,Article; Hofstoetter; Mayer; Monatshefte fur Chemie; vol. 105; 4; (1974); p. 712 - 725;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D15071&database=RX&origin=ReaxysOutput&ln=
,FCB(F)F,1811623.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1811623&database=RX&origin=ReaxysOutput&ln=,(1048 of 4000),430-42-2,(fluoromethyl)difluoroborane; difluoro-fluoromethyl-borane; Difluor-fluormethyl-boran,CH2FBF2,CH2BF3,81.8331,acyclic,,SKSANHIESSCNFX-UHFFFAOYSA-N,,,,Identification(5); Physical Data(7); Spectra(3),3.0,4.0,-47,,,,,,"Article; Goubeau; Rohwedder; Justus Liebigs Annalen der Chemie; vol. 604; (1957); p. 168,175;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1428434&database=RX&origin=ReaxysOutput&ln=
,[H]B1CCCCC1,1071219.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1071219&database=RX&origin=ReaxysOutput&ln=,(1049 of 4000),289-53-2,borinane,(CH2)5BH,C5H11B,81.9533,heterocyclic,,BIOOXWXQBSHAMB-UHFFFAOYSA-N,,,,Identification(9); Physical Data(5); Spectra(4),41.0,14.0,52 - 55,,,,,,"Article; Brown, Herbert C.; Pai, Ganesh G.; Journal of Organometallic Chemistry; vol. 250; 1; (1983); p. 13 - 22; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5980707&database=RX&origin=ReaxysOutput&ln=
,[Li+].COC([O-])=O,3702574.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3702574&database=RX&origin=ReaxysOutput&ln=,(1050 of 4000),41792-67-0,lithium methyl carbonate,Li(1+)*CH3OCOO(1-)=LiOOCOCH3,C2H3O3*Li,81.985,acyclic,,GUUWIMCGWXFZKT-UHFFFAOYSA-M,,,,Identification(69); Physical Data(8); Spectra(4),12.0,71.0,198 - 200,methanol; diethyl ether,,Decomp.,,,Article; Kurow; Zhurnal Obshchei Khimii; vol. 29; (1959); p. 1245;engl.Ausg.S.1216;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1492375&database=RX&origin=ReaxysOutput&ln=
,[H]P(O)(O)=O,1209272.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1209272&database=RX&origin=ReaxysOutput&ln=,(1051 of 4000),13598-36-2,phosphonic Acid,HPO3H2,H3O3P,81.9958,,,ABLZXFCXXLZCGV-UHFFFAOYSA-N,,,,Identification(2106); Physical Data(115); Spectra(49); Bioactivity(174),1187.0,3232.0,73,,,,,,"Article; Furberg, S.; Landmark, P.; Acta Chemica Scandinavica (1947); vol. 11; (1957); p. 1505 - 1511;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. P: MVol.C; 56, page 120 - 122; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7415683&database=RX&origin=ReaxysOutput&ln=
,OP(O)O,8402650.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8402650&database=RX&origin=ReaxysOutput&ln=,(1052 of 4000),10294-56-1,phosphorous acid; phosphorus acid; anhydrous phosphorous acid; Phosphonate (HPO32-),H3PO3,H3O3P,81.9958,,,OJMIONKXNSYLSR-UHFFFAOYSA-N,,,,Identification(965); Physical Data(6); Spectra(5); Bioactivity(57),199.0,1074.0,74,,,,,,"Article; Lv, Fang; Xiao, Jing; Xiang, Junchun; Guo, Fengzhe; Tang, Zi-Long; Han, Li-Biao; Journal of Organic Chemistry; vol. 86; 3; (2021); p. 3081 - 3088;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D82419069&database=RX&origin=ReaxysOutput&ln=
,FOC(F)=O,2345763.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2345763&database=RX&origin=ReaxysOutput&ln=,(1053 of 4000),16566-10-2,Fluorocarbonyl hypofluorite; Fluorcarbonylhypofluorit,FC(O)OF,CF2O2,82.0066,acyclic,,XUFCDLUXZCMVOF-UHFFFAOYSA-N,,,,Identification(9); Physical Data(1); Spectra(2),8.0,8.0,-141.4,,,,,,"Article; Cauble,R.L.; Cady,G.H.; Journal of the American Chemical Society; vol. 89; (1967); p. 5161 - 5162;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D57653&database=RX&origin=ReaxysOutput&ln=
,C[PH](F)=O,2344157.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2344157&database=RX&origin=ReaxysOutput&ln=,(1054 of 4000),39124-55-5,Methylphosphonigsaeurefluorid,CH4FOP,CH4FOP,82.0143,acyclic,,NWDNOERPMOCYKD-UHFFFAOYSA-N,,,,Identification(6); Physical Data(3); Spectra(4),1.0,1.0,-46,,,,,,"Article; Ahrens,U.; Falius,H.; Chemische Berichte; vol. 105; (1972); p. 3317 - 3321;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D41500&database=RX&origin=ReaxysOutput&ln=
,FC=C(F)F,506073.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D506073&database=RX&origin=ReaxysOutput&ln=,(1055 of 4000),359-11-5,"1,1,2-trifluoroethylene",C2F3H,C2HF3,82.0251,acyclic,,MIZLGWKEZAPEFJ-UHFFFAOYSA-N,,,,Identification(641); Physical Data(56); Spectra(66),475.0,1093.0,-78,,,,,,"Article; Lentz, Dieter; Bach, Ansgar; Buschmann, Juergen; Luger, Peter; Messerschmidt, Marc; Chemistry - A European Journal; vol. 10; 20; (2004); p. 5059 - 5066;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6530410&database=RX&origin=ReaxysOutput&ln=
,OCC(F)F,1731617.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731617&database=RX&origin=ReaxysOutput&ln=,(1056 of 4000),359-13-7,"difluoroethanol; 2,2-Difluoroethanol; 2,2-difluoroethan-1-ol; β,β-difluoro ethanol; 2,2-difluoroethane-1-ol; DFE",CF2HCH2OH,C2H4F2O,82.05,acyclic,,VOGSDFLJZPNWHY-UHFFFAOYSA-N,,,,Identification(92); Physical Data(40); Spectra(41); Bioactivity(21),350.0,407.0,-28.2,,,,,,Article; Swarts; Recueil des Travaux Chimiques des Pays-Bas; vol. 25; (1906); p. 423; Journal de Chimie Physique et de Physico-Chimie Biologique; vol. 17; (1919); p. 23; Chemisches Zentralblatt; vol. 77; II; (1906); p. 1567;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1131858&database=RX&origin=ReaxysOutput&ln=
,O=C1C=CC1=O,1921364.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1921364&database=RX&origin=ReaxysOutput&ln=,(1058 of 4000),32936-74-6,Cyclobutendion,C4H2O2,C4H2O2,82.0587,isocyclic,,RGBVWCQARBEPPW-UHFFFAOYSA-N,,,,Identification(42); Physical Data(3); Spectra(11),10.0,37.0,207 - 209,,,,,,Article; Kasai et al.; Chemistry Letters; (1978); p. 217;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4065867&database=RX&origin=ReaxysOutput&ln=
,O=CC#CC=O,2424255.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2424255&database=RX&origin=ReaxysOutput&ln=,(1059 of 4000),21251-20-7,acetylenedicarbaldehyde; butynedial,(C2HO)2,C4H2O2,82.0587,acyclic,,AZEBXWRLBFPUTO-UHFFFAOYSA-N,,,,Identification(10); Physical Data(2); Spectra(5),36.0,15.0,-11 - -10,,,,,,Article; Gorgues; Stephan; Belyasmine; Khanous; Co; Tetrahedron; vol. 46; 8; (1990); p. 2817 - 2826;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5511676&database=RX&origin=ReaxysOutput&ln=
,C1=NN=CN=N1,1559.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1559&database=RX&origin=ReaxysOutput&ln=,(1060 of 4000),290-96-0,s-Tetrazine,N4C2H2,C2H2N4,82.0647,heterocyclic,,HTJMXYRLEDBSLT-UHFFFAOYSA-N,,,,Identification(240); Physical Data(47); Spectra(68),108.0,378.0,94 - 95,,,Method: subl. sample,,,"Article; Heldmann, Dieter K.; Sauer, Juergen; Tetrahedron Letters; vol. 38; 33; (1997); p. 5791 - 5794;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6077660&database=RX&origin=ReaxysOutput&ln=
,N#C[13CH2][13CH2]C#N,4954904.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4954904&database=RX&origin=ReaxysOutput&ln=,(1061 of 4000),83587-79-5,"<2,3-13C2>succinonitrile",C2(13)C2H4N2,C4H4N2,82.0672,acyclic,,IAHFWCOBPZCAEA-ZDOIIHCHSA-N,,,,Identification(6); Physical Data(4); Spectra(7),4.0,4.0,48 - 50,,,,,,"Article; Trowitzsch-Kienast, Wolfram; Schober, Kerstin; Wray, Victor; Gerth, Klaus; Reichenbach, Hans; Hoefle, Gerhard; Liebigs Annalen der Chemie; (1989); p. 345 - 356;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5689413&database=RX&origin=ReaxysOutput&ln=
,[2H]C1=C([2H])N=CC=N1,606136.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D606136&database=RX&origin=ReaxysOutput&ln=,(1062 of 4000),3923-56-6,Pyrazin,C4H2D2N2,C4H4N2,82.0733,heterocyclic,,KYQCOXFCLRTKLS-QDNHWIQGSA-N,,,,Identification(7); Physical Data(3); Spectra(3),1.0,4.0,53 - 56,,,,,,"Article; Califano et al.; Spectrochimica Acta; vol. 20; (1964); p. 385,395;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2631535&database=RX&origin=ReaxysOutput&ln=
,FC(F)=S,1697947.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1697947&database=RX&origin=ReaxysOutput&ln=,(1063 of 4000),420-32-6,thiocarbonyl fluoride; Thiocarbonylfluorid; Thiocarbonyldifluorid; Difluorthiocarbonyl; thiocarbonyl difluoride; Difluorthiophosgen; thiokohlensaeuredifluorid,F2CS,CF2S,82.0738,acyclic,,FOCAHLGSDWHSAH-UHFFFAOYSA-N,,,,Identification(39); Physical Data(96); Spectra(33); Bioactivity(12),143.0,202.0,-163.5,,,,,,"Article; Downs; Journal of the Chemical Society; (1962); p. 4361,4364;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3911563&database=RX&origin=ReaxysOutput&ln=
,O[SH](=O)=O,11711593.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D11711593&database=RX&origin=ReaxysOutput&ln=,(1064 of 4000),,sulfonic acid; acetoacetamide-N-sulfonic acid,H2O3S,H2O3S,82.0801,,,BDHFUVZGWQCTTF-UHFFFAOYSA-N,,,,Identification(222); Physical Data(4); Spectra(15),38.0,302.0,229 - 236,,,,,,Patent; PFIZER INC; US6107494; (2000); A;; ; Patent; PFIZER INC; US2002/13476; (2002); A1;; ; Patent; PFIZER INC; US6387924; (2002); B2;; ; Patent; PFIZER INC; C O (unclear); G.A.B. S.R.L.; G (unclear); US5994391; (1999); A;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D147930&database=RX&origin=ReaxysOutput&ln=
,CC1=CC=CO1,103733.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D103733&database=RX&origin=ReaxysOutput&ln=,(1065 of 4000),534-22-5,2-Methylfuran,(CH3)C4H3O,C5H6O,82.102,heterocyclic,,VQKFNUFAXTZWDK-UHFFFAOYSA-N,,,,Identification(2710); Physical Data(190); Spectra(94); Bioactivity(223),4820.0,4383.0,-90.19,,,,,,Article; Hickman; Journal of the American Chemical Society; vol. 75; (1953); p. 4344;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D602748&database=RX&origin=ReaxysOutput&ln=
,CC1=C(C)C1=O,969463.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D969463&database=RX&origin=ReaxysOutput&ln=,(1066 of 4000),4883-98-1,Dimethylcyclopropenon,C5H6O,C5H6O,82.102,isocyclic,,XIYGCXBJAGGQCS-UHFFFAOYSA-N,,,,Identification(9); Physical Data(8); Spectra(7),7.0,13.0,21 - 22,,,,,,"Article; Steinfels,M.A.; Dreiding,A.S.; Helvetica Chimica Acta; vol. 55; (1972); p. 702 - 739;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6690&database=RX&origin=ReaxysOutput&ln=
,C=COCC#C,1698470.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1698470&database=RX&origin=ReaxysOutput&ln=,(1067 of 4000),4033-05-0,1-vinyloxy-2-propyne; Propargyl-vinyl-aether; 2-propynyl ethenyl ether; Prop-2-inyl-vinyl-aether,C5H6O,C5H6O,82.102,acyclic,,RWZSJVGXOARUKI-UHFFFAOYSA-N,,,,Identification(37); Physical Data(13); Spectra(10),41.0,42.0,-70,,,,,,Patent; BRIDGESTONE CORPORATION; US2537643; (1948); A;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1413559&database=RX&origin=ReaxysOutput&ln=
,CC#CCC=O,1698759.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1698759&database=RX&origin=ReaxysOutput&ln=,(1068 of 4000),200725-72-0,pent-3-ynal; Pent-3-inal,C5H6O,C5H6O,82.102,acyclic,,DAOZJOUHJZWTAG-UHFFFAOYSA-N,,,,Identification(6); Physical Data(2),25.0,4.0,-27.8,,,,,,"Article; Herbertz; Chemische Berichte; vol. 85; (1952); p. 475,482; Chemische Berichte; vol. 92; (1959); p. 541,550;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1434536&database=RX&origin=ReaxysOutput&ln=
,[H]C(OC)=C([H])C#C,1719851.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1719851&database=RX&origin=ReaxysOutput&ln=,(1069 of 4000),2798-73-4,1-methoxy-buten-3-yne; 1-methoxy-but-1-en-3-yne; 4-methoxy-3-buten-1-yne; 1-methoxy-1-buten-3-yne; 4-methoxy-but-3-en-1-yne; but-1-en-3-ynyl methyl ether,HCCCHC(OCH3)H,C5H6O,82.102,acyclic,,VTWTUVLDYHBQTC-UHFFFAOYSA-N,,,,Identification(7); Physical Data(23); Spectra(7),202.0,110.0,-7,,,,,,"Article; Herbertz; Chemische Berichte; vol. 85; (1952); p. 475,482; Chemische Berichte; vol. 92; (1959); p. 541,550;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1434536&database=RX&origin=ReaxysOutput&ln=
,OC(C=C)C#C,1737873.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1737873&database=RX&origin=ReaxysOutput&ln=,(1070 of 4000),14304-27-9,1-penten-4-yne-3-ol; 1-penten-4-yn-3-ol,HCCCH(OH)CHCH2,C5H6O,82.102,acyclic,,YALSXYCXTKPOFY-UHFFFAOYSA-N,,,,Identification(17); Physical Data(24); Spectra(25),121.0,55.0,58 - 60,,,,,,"Article; Golovanov; Odin; Vologzhanina; Voronova; Anoshina; Bekin; Russian Journal of Organic Chemistry; vol. 53; 11; (2017); p. 1664 - 1668; Zh. Org. Khim.; vol. 53; 11; (2017); p. 1629 - 1633,5;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D72872196&database=RX&origin=ReaxysOutput&ln=
,CC1=CCC1=O,2573031.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2573031&database=RX&origin=ReaxysOutput&ln=,(1071 of 4000),34564-53-9,2-methylcyclobut-2-en-1-one; 2-Methyl-2-cyclobuten-1-on,C5H6O,C5H6O,82.102,isocyclic,,GMBGQPLVYWWLSG-UHFFFAOYSA-N,,,,Identification(7); Physical Data(1),2.0,3.0,211 - 214,,,,,,"Article; Spencer,T.A. et al.; Journal of Organic Chemistry; vol. 37; 14; (1972); p. 2349 - 2351;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D186989&database=RX&origin=ReaxysOutput&ln=
,C1OC=CC=C1,3535541.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3535541&database=RX&origin=ReaxysOutput&ln=,(1072 of 4000),289-66-7,"1,2-dihydropyrane; pyran",C5H6O,C5H6O,82.102,heterocyclic,,MGADZUXDNSDTHW-UHFFFAOYSA-N,,,,Identification(1381); Physical Data(6); Spectra(4),37.0,1377.0,67 - 69,,,,,,Patent; BAYER AG; US5760073; (1998); A;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D99707&database=RX&origin=ReaxysOutput&ln=
,CC1=NC=CN1,1368.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1368&database=RX&origin=ReaxysOutput&ln=,(1073 of 4000),693-98-1,2-methylimidazole; 2-Methyl-1H-imidazole; 2-methylimidazol; 2-MeHIm,(CH3)N2C3H3,C4H6N2,82.105,heterocyclic,,LXBGSDVWAMZHDD-UHFFFAOYSA-N,,,,Identification(6743); Physical Data(206); Spectra(100); Bioactivity(468),2360.0,8498.0,144 - 145,,,,,,"Article; Zhang, Xian-Rui; Zhang, Lei; Journal of Molecular Structure; vol. 1137; (2017); p. 328 - 334;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D70682945&database=RX&origin=ReaxysOutput&ln=
,CC1=CNC=N1,1453.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1453&database=RX&origin=ReaxysOutput&ln=,(1074 of 4000),822-36-6,4-methyl-1H-imidazole; 4-Methylimidazole,C3H3CH3N2,C4H6N2,82.105,heterocyclic,,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,,,,Identification(650); Physical Data(95); Spectra(59); Bioactivity(110),1218.0,1438.0,44 - 45,,,,,,"Article; Shenderovich, Ilya G.; Lesnichin, Stepan B.; Tu, Chingkuang; Silverman, David N.; Tolstoy, Peter M.; Denisov, Gleb S.; Limbach, Hans-Heinrich; Chemistry - A European Journal; vol. 21; 7; (2015); p. 2915 - 2929;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D64672872&database=RX&origin=ReaxysOutput&ln=
,CC1=NNC=C1,1454.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1454&database=RX&origin=ReaxysOutput&ln=,(1075 of 4000),1453-58-3,3-Methylpyrazole; 3-methyl-1H-pyrazole,HN2C3H2CH3,C4H6N2,82.105,heterocyclic,,XKVUYEYANWFIJX-UHFFFAOYSA-N,,,,Identification(288); Physical Data(117); Spectra(48); Bioactivity(50),808.0,889.0,36 - 37,,,,,,"Article; Sharma,S.C.; Torssell,K.; Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry; vol. 33; 5; (1979); p. 379 - 383;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D95725&database=RX&origin=ReaxysOutput&ln=
,CN1C=CN=C1,105197.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D105197&database=RX&origin=ReaxysOutput&ln=,(1076 of 4000),616-47-7,1-methyl-1H-imidazole; N-methyl-1H-imidazole; 1-methylimidazole; N-methylimidazole; N-methylimidazol; 1-MeIm,(CH3)NC3H3N,C4H6N2,82.105,heterocyclic,,MCTWTZJPVLRJOU-UHFFFAOYSA-N,,,,Identification(4408); Physical Data(402); Spectra(220); Bioactivity(514),6354.0,9632.0,-6,,,,,,"Article; Kim, Onnuri; Kim, Sung Yeon; Ahn, Hyungmin; Kim, Chang Woo; Rhee, Young Min; Park, Moon Jeong; Macromolecules; vol. 45; 21; (2012); p. 8702 - 8713;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D35347001&database=RX&origin=ReaxysOutput&ln=
,CC1=CNN=C1,105204.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D105204&database=RX&origin=ReaxysOutput&ln=,(1077 of 4000),7554-65-6,4-methyl-1H-pyrazole; 4-methylpyrazole,HN2C3H2CH3,C4H6N2,82.105,heterocyclic,,RIKMMFOAQPJVMX-UHFFFAOYSA-N,,,,Identification(965); Physical Data(43); Spectra(27); Bioactivity(251),409.0,1437.0,15.5 - 18.5,,,,,,Patent; THE UNIVERSITY OF ALABAMA SYSTEM; US2007/93462; (2007); A1;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D431366&database=RX&origin=ReaxysOutput&ln=
,C\C(N)=C/C#N,471176.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D471176&database=RX&origin=ReaxysOutput&ln=,(1078 of 4000),763-33-7,(E)-3-aminocrotononitrile; (E)-3-aminobut-2-enenitrile; 3-aminocrotononitrile; (2E)-3-aminobut-2-enenitrile; β-aminocrotonitrile; 2-aminocrotononitrile; 2-amino-1-propenecarbonitrile,C4H6N2,C4H6N2,82.105,acyclic,,DELJOESCKJGFML-DUXPYHPUSA-N,,,,Identification(31); Physical Data(10); Spectra(23),288.0,100.0,78,benzene,,,,,Article; Mohrle; Reinhardt; Pharmazie; vol. 39; 6; (1984); p. 384 - 386;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5685863&database=RX&origin=ReaxysOutput&ln=
,C=CCNC#N,506185.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D506185&database=RX&origin=ReaxysOutput&ln=,(1079 of 4000),36333-01-4,N-allylcyanamide; allylcyanamide; Allylcyanamid,C4H6N2,C4H6N2,82.105,acyclic,,UEONEAPMPJEGDO-UHFFFAOYSA-N,,,,Identification(20); Physical Data(6); Spectra(14),27.0,30.0,100,,,with:0.5 Mol.Wasser (solvent).unter Verlust des Krystallwassers.,,,Article; Will; Justus Liebigs Annalen der Chemie; vol. 52; (1844); p. 15;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1213279&database=RX&origin=ReaxysOutput&ln=
,CC1=CN=CN1,605627.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D605627&database=RX&origin=ReaxysOutput&ln=,(1080 of 4000),822-36-6,4-Methylimidazole,NCHNHC(CH3)CH,C4H6N2,82.105,heterocyclic,,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,,,,Identification(103); Physical Data(25); Spectra(18),97.0,159.0,45,,,,,,"Article; Ranganathan, S.; Singh, W. P.; Tetrahedron Letters; vol. 29; 12; (1988); p. 1435 - 1436;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5552501&database=RX&origin=ReaxysOutput&ln=
